Date ,Treatment,Tank,Fragment,Picture,AOI,File
2017-10-05,26,2,9,1,1,1.csv
2017-10-05,26,2,13,1,2,1.csv
2017-10-05,26,2,16,1,3,1.csv
2017-10-05,26,2,17,1,4,1.csv
2017-10-05,26,2,36,2,1,2.csv
2017-10-05,26,2,42,2,2,2.csv
2017-10-05,26,2,44,2,3,2.csv
2017-10-05,26,2,50,2,4,2.csv
2017-10-05,26,2,51,3,1,3.csv
2017-10-05,26,2,55,3,2,3.csv
2017-10-05,26,2,56,3,3,3.csv
2017-10-05,26,2,61,3,4,3.csv
2017-10-05,26,2,64,4,1,4.csv
2017-10-05,26,2,67,4,2,4.csv
2017-10-05,26,2,76,4,3,4.csv
2017-10-05,26,2,77,4,4,4.csv
2017-10-05,26,2,94,5,1,5.csv
2017-10-05,26,2,127,5,2,5.csv
2017-10-05,26,2,201,5,3,5.csv
2017-10-05,26,2,202,5,4,5.csv
2017-10-05,26,2,298,5,5,5.csv
2017-10-05,27,4,11,6,1,6.csv
2017-10-05,27,4,12,6,2,6.csv
2017-10-05,27,4,28,6,3,6.csv
2017-10-05,27,4,29,6,4,6.csv
2017-10-05,27,4,30,7,1,7.csv
2017-10-05,27,4,40,7,2,7.csv
2017-10-05,27,4,57,7,3,7.csv
2017-10-05,27,4,58,7,4,7.csv
2017-10-05,27,4,59,8,1,8.csv
2017-10-05,27,4,60,8,2,8.csv
2017-10-05,27,4,73,8,3,8.csv
2017-10-05,27,4,78,8,4,8.csv
2017-10-05,27,4,79,9,1,9.csv
2017-10-05,27,4,82,9,2,9.csv
2017-10-05,27,4,83,9,3,9.csv
2017-10-05,27,4,84,9,4,9.csv
2017-10-05,27,4,88,10,1,10.csv
2017-10-05,27,4,90,10,2,10.csv
2017-10-05,27,4,92,10,3,10.csv
2017-10-05,27,4,96,10,4,10.csv
2017-10-05,27,4,205,11,1,11.csv
2017-10-05,27,4,207,11,2,11.csv
2017-10-05,27,4,297,11,3,11.csv
2017-10-05,28,3,8b,17,1,17.csv
2017-10-05,28,3,15b,17,2,17.csv
2017-10-05,28,3,18b,17,3,17.csv
2017-10-05,28,3,20b,17,4,17.csv
2017-10-05,28,3,27b,18,1,18.csv
2017-10-05,28,3,34b,18,2,18.csv
2017-10-05,28,3,43b,18,3,18.csv
2017-10-05,28,3,46b,18,4,18.csv
2017-10-05,28,3,49b,18,5,18.csv
2017-10-05,28,3,68b,19,1,19.csv
2017-10-05,28,3,71b,19,2,19.csv
2017-10-05,28,3,85b,19,3,19.csv
2017-10-05,28,3,91b,19,4,19.csv
2017-10-05,28,3,114b,20,1,20.csv
2017-10-05,28,3,125b,20,2,20.csv
2017-10-05,28,3,126b,20,3,20.csv
2017-10-05,28,3,129b,20,4,20.csv
2017-10-05,28,3,196b,20,5,20.csv
2017-10-05,28b,3,1c,12,1,12.csv
2017-10-05,28b,3,2c,12,2,12.csv
2017-10-05,28b,3,10c,12,3,12.csv
2017-10-05,28b,3,14c,12,4,12.csv
2017-10-05,28b,3,23c,13,1,13.csv
2017-10-05,28b,3,24c,13,2,13.csv
2017-10-05,28b,3,25c,13,3,13.csv
2017-10-05,28b,3,31c,13,4,13.csv
2017-10-05,28b,3,35c,14,1,14.csv
2017-10-05,28b,3,38c,14,2,14.csv
2017-10-05,28b,3,41c,14,3,14.csv
2017-10-05,28b,3,45c,14,4,14.csv
2017-10-05,28b,3,62c,15,1,15.csv
2017-10-05,28b,3,63c,15,2,15.csv
2017-10-05,28b,3,65c,15,3,15.csv
2017-10-05,28b,3,66c,15,4,15.csv
2017-10-05,28b,3,69c,16,1,16.csv
2017-10-05,28b,3,72c,16,2,16.csv
2017-10-05,28b,3,87c,16,3,16.csv
2017-10-05,28,3,209,16,4,16.csv
2017-10-05,28,3,210,16,5,16.csv
2017-10-05,28,3,296,16,6,16.csv
2017-10-05,29,1,4,21,1,21.csv
2017-10-05,29,1,5,21,2,21.csv
2017-10-05,29,1,6,21,3,21.csv
2017-10-05,29,1,22,21,4,21.csv
2017-10-05,29,1,32,22,1,22.csv
2017-10-05,29,1,33,22,2,22.csv
2017-10-05,29,1,39,22,3,22.csv
2017-10-05,29,1,48,22,4,22.csv
2017-10-05,29,1,52,23,1,23.csv
2017-10-05,29,1,53,23,2,23.csv
2017-10-05,29,1,54,23,3,23.csv
2017-10-05,29,1,70,23,4,23.csv
2017-10-05,29,1,75,24,1,24.csv
2017-10-05,29,1,80,24,2,24.csv
2017-10-05,29,1,81,24,3,24.csv
2017-10-05,29,1,89,25,1,25.csv
2017-10-05,29,1,93,25,2,25.csv
2017-10-05,29,1,95,25,3,25.csv
2017-10-05,29,1,212,25,4,25.csv
2017-10-05,29,1,213,25,5,25.csv
2017-10-05,29,1,295,25,6,25.csv
